index_name,tradedate,open,high,low,close
NSE500,1995-01-01,1000.0,1000.0,1000.0,1000.0
NSE500,1995-01-02,1000.0,1000.0,972.1,972.1
NSE500,1995-01-03,972.1,972.1,967.43,967.43
NSE500,1995-01-04,967.43,967.43,958.89,958.89
NSE500,1995-01-05,958.89,958.89,948.26,948.26
NSE500,1995-01-06,948.26,948.26,939.46,939.46
NSE500,1995-01-09,939.46,939.46,921.65,921.65
NSE500,1995-01-10,921.65,921.65,901.64,901.64
NSE500,1995-01-11,901.64,901.64,893.14,893.14
NSE500,1995-01-12,893.14,893.14,893.14,893.14
NSE500,1995-01-13,893.14,894.08,893.14,894.08
NSE500,1995-01-16,894.08,903.0,894.08,903.0
NSE500,1995-01-17,903.0,907.45,903.0,907.45
NSE500,1995-01-18,907.45,907.82,907.45,907.82
NSE500,1995-01-19,907.82,909.85,907.82,909.85
NSE500,1995-01-20,909.85,909.85,903.82,903.82
NSE500,1995-01-23,903.82,903.82,883.28,883.28
NSE500,1995-01-24,883.28,883.28,863.72,863.72
NSE500,1995-01-25,863.72,864.1,863.72,864.1
NSE500,1995-01-27,864.1,867.69,864.1,867.69
NSE500,1995-01-30,867.69,877.89,867.69,877.89
NSE500,1995-01-31,877.89,883.27,877.89,883.27
NSE500,1995-02-01,883.27,883.27,882.83,882.83
NSE500,1995-02-02,882.83,884.08,882.83,884.08
NSE500,1995-02-03,884.08,887.64,884.08,887.64
NSE500,1995-02-06,887.64,887.64,880.99,880.99
NSE500,1995-02-07,880.99,880.99,872.99,872.99
NSE500,1995-02-08,872.99,872.99,865.42,865.42
NSE500,1995-02-09,865.42,865.42,862.03,862.03
NSE500,1995-02-10,862.03,862.03,858.27,858.27
NSE500,1995-02-13,858.27,858.27,853.75,853.75
NSE500,1995-02-14,853.75,853.75,850.4,850.4
NSE500,1995-02-15,850.4,850.4,847.61,847.61
NSE500,1995-02-16,847.61,847.61,833.53,833.53
NSE500,1995-02-17,833.53,833.53,823.6,823.6
NSE500,1995-02-20,823.6,823.6,814.85,814.85
NSE500,1995-02-21,814.85,814.85,800.46,800.46
NSE500,1995-02-22,800.46,800.46,788.49,788.49
NSE500,1995-02-23,788.49,812.98,788.49,812.98
NSE500,1995-02-24,812.98,838.86,812.98,838.86
NSE500,1995-02-28,838.86,838.86,832.98,832.98
NSE500,1995-03-01,832.98,842.85,832.98,842.85
NSE500,1995-03-02,842.85,854.14,842.85,854.14
NSE500,1995-03-03,854.14,859.26,854.14,859.26
NSE500,1995-03-06,859.26,860.6,859.26,860.6
NSE500,1995-03-07,860.6,860.6,858.33,858.33
NSE500,1995-03-08,858.33,858.33,852.93,852.93
NSE500,1995-03-09,852.93,852.93,851.65,851.65
NSE500,1995-03-10,851.65,863.48,851.65,863.48
NSE500,1995-03-13,863.48,863.48,844.12,844.12
NSE500,1995-03-14,844.12,847.92,844.12,847.92
NSE500,1995-03-15,847.92,857.25,847.92,857.25
NSE500,1995-03-16,857.25,857.25,842.73,842.73
NSE500,1995-03-23,842.73,842.73,820.79,820.79
NSE500,1995-03-24,820.79,820.79,816.66,816.66
NSE500,1995-03-27,816.66,816.86,816.66,816.86
NSE500,1995-03-28,816.86,819.96,816.86,819.96
NSE500,1995-03-29,819.96,819.96,814.5,814.5
NSE500,1995-03-30,814.5,814.78,814.5,814.78
NSE500,1995-03-31,814.78,814.78,812.68,812.68
NSE500,1995-04-03,812.68,814.74,812.68,814.74
NSE500,1995-04-04,814.74,822.78,814.74,822.78
NSE500,1995-04-05,822.78,833.75,822.78,833.75
NSE500,1995-04-06,833.75,841.29,833.75,841.29
NSE500,1995-04-07,841.29,845.32,841.29,845.32
NSE500,1995-04-10,845.32,845.32,841.44,841.44
NSE500,1995-04-17,841.44,841.44,839.89,839.89
NSE500,1995-04-18,839.89,839.89,829.67,829.67
NSE500,1995-04-19,829.67,829.67,820.54,820.54
NSE500,1995-04-20,820.54,820.54,813.3,813.3
NSE500,1995-04-21,813.3,813.3,812.85,812.85
NSE500,1995-04-24,812.85,812.85,802.3,802.3
NSE500,1995-04-25,802.3,802.3,792.74,792.74
NSE500,1995-04-26,792.74,792.74,785.02,785.02
NSE500,1995-04-27,785.02,785.02,772.98,772.98
NSE500,1995-04-28,772.98,772.98,759.82,759.82
NSE500,1995-05-02,759.82,759.82,735.44,735.44
NSE500,1995-05-03,735.44,737.28,735.44,737.28
NSE500,1995-05-04,737.28,746.42,737.28,746.42
NSE500,1995-05-05,746.42,760.71,746.42,760.71
NSE500,1995-05-08,760.71,763.4,760.71,763.4
NSE500,1995-05-09,763.4,767.75,763.4,767.75
NSE500,1995-05-10,767.75,767.75,766.92,766.92
NSE500,1995-05-12,766.92,766.92,759.49,759.49
NSE500,1995-05-15,759.49,759.49,752.81,752.81
NSE500,1995-05-16,752.81,752.81,749.61,749.61
NSE500,1995-05-17,749.61,757.99,749.61,757.99
NSE500,1995-05-18,757.99,769.27,757.99,769.27
NSE500,1995-05-19,769.27,775.7,769.27,775.7
NSE500,1995-05-22,775.7,775.7,766.3,766.3
NSE500,1995-05-23,766.3,766.3,761.66,761.66
NSE500,1995-05-24,761.66,761.66,758.59,758.59
NSE500,1995-05-25,758.59,758.59,755.53,755.53
NSE500,1995-05-26,755.53,759.63,755.53,759.63
NSE500,1995-05-29,759.63,759.63,759.23,759.23
NSE500,1995-05-30,759.23,761.69,759.23,761.69
NSE500,1995-05-31,761.69,777.09,761.69,777.09
NSE500,1995-06-01,777.09,788.73,777.09,788.73
NSE500,1995-06-02,788.73,788.73,788.19,788.19
NSE500,1995-06-05,788.19,788.19,786.67,786.67
NSE500,1995-06-06,786.67,788.78,786.67,788.78
NSE500,1995-06-07,788.78,788.78,788.33,788.33
NSE500,1995-06-08,788.33,788.33,781.77,781.77
NSE500,1995-06-09,781.77,781.77,777.64,777.64
NSE500,1995-06-12,777.64,777.64,773.22,773.22
NSE500,1995-06-13,773.22,773.22,766.04,766.04
NSE500,1995-06-14,766.04,766.92,766.04,766.92
NSE500,1995-06-15,766.92,766.92,761.92,761.92
NSE500,1995-06-16,761.92,765.42,761.92,765.42
NSE500,1995-06-19,765.42,769.07,765.42,769.07
NSE500,1995-06-20,769.07,770.65,769.07,770.65
NSE500,1995-06-21,770.65,770.65,769.43,769.43
NSE500,1995-06-22,769.43,769.43,764.08,764.08
NSE500,1995-06-23,764.08,764.08,757.05,757.05
NSE500,1995-06-26,757.05,757.05,743.69,743.69
NSE500,1995-06-27,743.69,743.69,738.67,738.67
NSE500,1995-06-28,738.67,744.56,738.67,744.56
NSE500,1995-06-29,744.56,744.56,742.47,742.47
NSE500,1995-06-30,742.47,742.47,737.24,737.24
NSE500,1995-07-03,737.24,737.24,722.89,722.89
